level $1938$ complete, p/sec ratio: @2.195045458539223@
level $1939$ complete, p/sec ratio: @2.8776607464478294@
level $1940$ complete, p/sec ratio: @2.0991613722435476@
level $1941$ complete, p/sec ratio: @2.5600244198757967@
level $1942$ complete, p/sec ratio: @1.9481721922411253@
level $1943$ complete, p/sec ratio: @1.354642058031077@
level $1944$ complete, p/sec ratio: @2.249212382064077@
level $1945$ complete, p/sec ratio: @2.521584774396199@
level $1946$ complete, p/sec ratio: @2.0500501702904175@
level $1947$ complete, p/sec ratio: @1.6737348874783886@
level $1948$ complete, p/sec ratio: @2.048264153113961@
level $1949$ complete, p/sec ratio: @2.3575313369854016@
level $1950$ complete, p/sec ratio: @2.1980558832245882@
level $1951$ complete, p/sec ratio: @1.5531850041203192@
level $1952$ complete, p/sec ratio: @2.4275430345445477@
level $1953$ complete, p/sec ratio: @1.4554679176798127@
level $1954$ complete, p/sec ratio: @1.8133780203069478@
level $1955$ complete, p/sec ratio: @1.433577243997583@
level $1956$ complete, p/sec ratio: @2.8493252241385894@
level $1957$ complete, p/sec ratio: @2.5063018883434593@
level $1958$ complete, p/sec ratio: @1.2580837000617364@
level $1959$ complete, p/sec ratio: @2.863900311639249@
level $1960$ complete, p/sec ratio: @2.4899816449599332@
level $1961$ complete, p/sec ratio: @2.178329189376462@
level $1962$ complete, p/sec ratio: @1.3877035648830272@
level $1963$ complete, p/sec ratio: @2.0431960805880065@
level $1964$ complete, p/sec ratio: @2.594809983261315@
level $1965$ complete, p/sec ratio: @2.3861395990341325@
level $1966$ complete, p/sec ratio: @1.9581491815845617@
level $1967$ complete, p/sec ratio: @1.8935390906755913@
level $1968$ complete, p/sec ratio: @2.465770246573386@
level $1969$ complete, p/sec ratio: @2.439549907975363@
level $1970$ complete, p/sec ratio: @1.4296992020461927@
level $1971$ complete, p/sec ratio: @3.059243712295783@
level $1972$ complete, p/sec ratio: @2.535206740084101@
level $1973$ complete, p/sec ratio: @2.055811628401988@
level $1974$ complete, p/sec ratio: @1.8130064899085543@
level $1975$ complete, p/sec ratio: @1.76219929902431@
level $1976$ complete, p/sec ratio: @1.9901282665201352@
level $1977$ complete, p/sec ratio: @1.8858151701658241@
level $1978$ complete, p/sec ratio: @1.664905270223504@
level $1979$ complete, p/sec ratio: @1.634775042441697@
level $1980$ complete, p/sec ratio: @2.145107434453804@
level $1981$ complete, p/sec ratio: @1.5461493783056783@
level $1982$ complete, p/sec ratio: @1.8940592428526886@
level $1983$ complete, p/sec ratio: @2.54516666465625@
level $1984$ complete, p/sec ratio: @2.2353821335338036@
level $1985$ complete, p/sec ratio: @2.247524234797738@
level $1986$ complete, p/sec ratio: @1.7042985066594478@
level $1987$ complete, p/sec ratio: @2.995395774093961@
level $1988$ complete, p/sec ratio: @2.6201977769438654@
level $1989$ complete, p/sec ratio: @1.8265796193704005@
level $1990$ complete, p/sec ratio: @2.677990567228036@
level $1991$ complete, p/sec ratio: @2.1099456785561173@
level $1992$ complete, p/sec ratio: @1.9458155634753842@
level $1993$ complete, p/sec ratio: @1.720028122649648@
level $1994$ complete, p/sec ratio: @1.794194839820433@
level $1995$ complete, p/sec ratio: @1.7445119005289746@
level $1996$ complete, p/sec ratio: @2.0254903147049634@
level $1997$ complete, p/sec ratio: @1.6163680199369979@
level $1998$ complete, p/sec ratio: @2.147018079602591@
level $1999$ complete, p/sec ratio: @2.584624964378794@
level $2000$ complete, p/sec ratio: @2.0677168921192233@
level $2001$ complete, p/sec ratio: @1.9094939059915137@
level $2002$ complete, p/sec ratio: @1.9695444686435426@
level $2003$ complete, p/sec ratio: @1.7704292750143589@
level $2004$ complete, p/sec ratio: @1.7241015544998624@
level $2005$ complete, p/sec ratio: @2.1701298581078596@
level $2006$ complete, p/sec ratio: @2.113338994232335@
level $2007$ complete, p/sec ratio: @1.6562851236527352@
